Start,Meter,kWh,kW
"01/16/2025 12:00:00 AM","Meter #80395501 - Off-Peak","0.92","3.68"
"01/16/2025 12:00:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 12:15:00 AM","Meter #80395501 - Off-Peak","0.57","2.29"
"01/16/2025 12:15:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 12:30:00 AM","Meter #80395501 - Off-Peak","0.34","1.38"
"01/16/2025 12:30:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 12:45:00 AM","Meter #80395501 - Off-Peak","0.41","1.64"
"01/16/2025 12:45:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 1:00:00 AM","Meter #80395501 - Off-Peak","0.35","1.40"
"01/16/2025 1:00:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 1:15:00 AM","Meter #80395501 - Off-Peak","0.37","1.47"
"01/16/2025 1:15:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 1:30:00 AM","Meter #80395501 - Off-Peak","0.36","1.45"
"01/16/2025 1:30:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 1:45:00 AM","Meter #80395501 - Off-Peak","0.35","1.40"
"01/16/2025 1:45:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 2:00:00 AM","Meter #80395501 - Off-Peak","0.34","1.35"
"01/16/2025 2:00:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 2:15:00 AM","Meter #80395501 - Off-Peak","0.34","1.37"
"01/16/2025 2:15:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 2:30:00 AM","Meter #80395501 - Off-Peak","0.33","1.34"
"01/16/2025 2:30:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 2:45:00 AM","Meter #80395501 - Off-Peak","0.32","1.28"
"01/16/2025 2:45:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 3:00:00 AM","Meter #80395501 - Off-Peak","0.31","1.25"
"01/16/2025 3:00:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 3:15:00 AM","Meter #80395501 - Off-Peak","0.29","1.17"
"01/16/2025 3:15:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 3:30:00 AM","Meter #80395501 - Off-Peak","0.17","0.66"
"01/16/2025 3:30:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 3:45:00 AM","Meter #80395501 - Off-Peak","0.70","2.79"
"01/16/2025 3:45:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 4:00:00 AM","Meter #80395501 - Off-Peak","0.95","3.80"
"01/16/2025 4:00:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 4:15:00 AM","Meter #80395501 - Off-Peak","0.96","3.83"
"01/16/2025 4:15:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 4:30:00 AM","Meter #80395501 - Off-Peak","0.96","3.86"
"01/16/2025 4:30:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 4:45:00 AM","Meter #80395501 - Off-Peak","0.94","3.76"
"01/16/2025 4:45:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 5:00:00 AM","Meter #80395501 - Off-Peak","0.95","3.80"
"01/16/2025 5:00:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 5:15:00 AM","Meter #80395501 - Off-Peak","0.99","3.97"
"01/16/2025 5:15:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 5:30:00 AM","Meter #80395501 - Off-Peak","0.97","3.89"
"01/16/2025 5:30:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 5:45:00 AM","Meter #80395501 - Off-Peak","0.93","3.70"
"01/16/2025 5:45:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 6:00:00 AM","Meter #80395501 - Off-Peak","0.93","3.70"
"01/16/2025 6:00:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 6:15:00 AM","Meter #80395501 - Off-Peak","0.93","3.71"
"01/16/2025 6:15:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 6:30:00 AM","Meter #80395501 - Off-Peak","0.93","3.70"
"01/16/2025 6:30:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 6:45:00 AM","Meter #80395501 - Off-Peak","0.94","3.77"
"01/16/2025 6:45:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 7:00:00 AM","Meter #80395501 - Off-Peak","0.97","3.86"
"01/16/2025 7:00:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 7:15:00 AM","Meter #80395501 - Off-Peak","0.99","3.96"
"01/16/2025 7:15:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 7:30:00 AM","Meter #80395501 - Off-Peak","1.06","4.25"
"01/16/2025 7:30:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 7:45:00 AM","Meter #80395501 - Off-Peak","1.24","4.95"
"01/16/2025 7:45:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 8:00:00 AM","Meter #80395501 - Off-Peak","1.07","4.27"
"01/16/2025 8:00:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 8:15:00 AM","Meter #80395501 - Off-Peak","1.02","4.09"
"01/16/2025 8:15:00 AM","Meter #80395501g - Off-Peak","0.00",""
"01/16/2025 8:30:00 AM","Meter #80395501 - Off-Peak","0.43","1.74"
"01/16/2025 8:30:00 AM","Meter #80395501g - Off-Peak","0.00",""
