Start,Meter,kWh,kW
1/16/2025 0:00,Meter #80395501 - Off-Peak,0.92,3.68
1/16/2025 0:15,Meter #80395501 - Off-Peak,0.57,2.29
1/16/2025 0:30,Meter #80395501 - Off-Peak,0.34,1.38
1/16/2025 0:45,Meter #80395501 - Off-Peak,0.41,1.64
1/16/2025 1:00,Meter #80395501 - Off-Peak,0.35,1.4
1/16/2025 1:15,Meter #80395501 - Off-Peak,0.37,1.47
1/16/2025 1:30,Meter #80395501 - Off-Peak,0.36,1.45
1/16/2025 1:45,Meter #80395501 - Off-Peak,0.35,1.4
1/16/2025 2:00,Meter #80395501 - Off-Peak,0.34,1.35
1/16/2025 2:15,Meter #80395501 - Off-Peak,0.34,1.37
1/16/2025 2:30,Meter #80395501 - Off-Peak,0.33,1.34
1/16/2025 2:45,Meter #80395501 - Off-Peak,0.32,1.28
1/16/2025 3:00,Meter #80395501 - Off-Peak,0.31,1.25
1/16/2025 3:15,Meter #80395501 - Off-Peak,0.29,1.17
1/16/2025 3:30,Meter #80395501 - Off-Peak,0.17,0.66
1/16/2025 3:45,Meter #80395501 - Off-Peak,0.7,2.79
1/16/2025 4:00,Meter #80395501 - Off-Peak,0.95,3.8
1/16/2025 4:15,Meter #80395501 - Off-Peak,0.96,3.83
1/16/2025 4:30,Meter #80395501 - Off-Peak,0.96,3.86
1/16/2025 4:45,Meter #80395501 - Off-Peak,0.94,3.76
1/16/2025 5:00,Meter #80395501 - Off-Peak,0.95,3.8
1/16/2025 5:15,Meter #80395501 - Off-Peak,0.99,3.97
1/16/2025 5:30,Meter #80395501 - Off-Peak,0.97,3.89
1/16/2025 5:45,Meter #80395501 - Off-Peak,0.93,3.7
1/16/2025 6:00,Meter #80395501 - Off-Peak,0.93,3.7
1/16/2025 6:15,Meter #80395501 - Off-Peak,0.93,3.71
1/16/2025 6:30,Meter #80395501 - Off-Peak,0.93,3.7
1/16/2025 6:45,Meter #80395501 - Off-Peak,0.94,3.77
1/16/2025 7:00,Meter #80395501 - Off-Peak,0.97,3.86
1/16/2025 7:15,Meter #80395501 - Off-Peak,0.99,3.96
1/16/2025 7:30,Meter #80395501 - Off-Peak,1.06,4.25
1/16/2025 7:45,Meter #80395501 - Off-Peak,1.24,4.95
1/16/2025 8:00,Meter #80395501 - Off-Peak,1.07,4.27
1/16/2025 8:15,Meter #80395501 - Off-Peak,1.02,4.09
1/16/2025 8:30,Meter #80395501 - Off-Peak,0.43,1.74
1/16/2025 8:45,Meter #80395501 - Off-Peak,0.39,1.55
1/16/2025 9:00,Meter #80395501 - Off-Peak,0.37,1.49
1/16/2025 9:15,Meter #80395501 - Off-Peak,0.39,1.57
1/16/2025 9:30,Meter #80395501 - Off-Peak,0.41,1.63
1/16/2025 9:45,Meter #80395501 - Off-Peak,0.38,1.53
1/16/2025 10:00,Meter #80395501 - Off-Peak,0.41,1.62
1/16/2025 10:15,Meter #80395501 - Off-Peak,0.44,1.75
1/16/2025 10:30,Meter #80395501 - Off-Peak,0.42,1.7
1/16/2025 10:45,Meter #80395501 - Off-Peak,0.42,1.68
1/16/2025 11:00,Meter #80395501 - Off-Peak,0.43,1.72
1/16/2025 11:15,Meter #80395501 - Off-Peak,0.28,1.14
1/16/2025 11:30,Meter #80395501 - Off-Peak,0.52,2.06
1/16/2025 11:45,Meter #80395501 - Off-Peak,0.84,3.35
1/16/2025 12:00,Meter #80395501 - Off-Peak,0.83,3.31
1/16/2025 12:15,Meter #80395501 - Off-Peak,1.02,4.09
1/16/2025 12:30,Meter #80395501 - Off-Peak,1.03,4.1
1/16/2025 12:45,Meter #80395501 - Off-Peak,1.1,4.39
1/16/2025 13:00,Meter #80395501 - Off-Peak,1.03,4.1
1/16/2025 13:15,Meter #80395501 - Off-Peak,1.26,5.05
1/16/2025 13:30,Meter #80395501 - Off-Peak,1.31,5.24
1/16/2025 13:45,Meter #80395501 - Off-Peak,1.2,4.8
1/16/2025 14:00,Meter #80395501 - Off-Peak,1.04,4.17
1/16/2025 14:15,Meter #80395501 - Off-Peak,1.04,4.14
1/16/2025 14:30,Meter #80395501 - Off-Peak,1.2,4.8
1/16/2025 14:45,Meter #80395501 - Off-Peak,1.34,5.36
1/16/2025 15:00,Meter #80395501 - On-Peak,1.07,4.26
1/16/2025 15:15,Meter #80395501 - On-Peak,1.02,4.07
1/16/2025 15:30,Meter #80395501 - On-Peak,1.03,4.11
1/16/2025 15:45,Meter #80395501 - On-Peak,1.02,4.07
1/16/2025 16:00,Meter #80395501 - On-Peak,1.02,4.08
1/16/2025 16:15,Meter #80395501 - On-Peak,1.03,4.12
1/16/2025 16:30,Meter #80395501 - On-Peak,1.02,4.07
1/16/2025 16:45,Meter #80395501 - On-Peak,1.01,4.03
1/16/2025 17:00,Meter #80395501 - On-Peak,1.01,4.04
1/16/2025 17:15,Meter #80395501 - On-Peak,1.05,4.2
1/16/2025 17:30,Meter #80395501 - On-Peak,1.03,4.14
1/16/2025 17:45,Meter #80395501 - On-Peak,0.8,3.22
1/16/2025 18:00,Meter #80395501 - On-Peak,0.81,3.24
1/16/2025 18:15,Meter #80395501 - On-Peak,0.9,3.59
1/16/2025 18:30,Meter #80395501 - On-Peak,1.06,4.24
1/16/2025 18:45,Meter #80395501 - On-Peak,1.06,4.23
1/16/2025 19:00,Meter #80395501 - Off-Peak,1.07,4.27
1/16/2025 19:15,Meter #80395501 - Off-Peak,1.07,4.27
1/16/2025 19:30,Meter #80395501 - Off-Peak,1.08,4.31
1/16/2025 19:45,Meter #80395501 - Off-Peak,1.07,4.27
1/16/2025 20:00,Meter #80395501 - Off-Peak,1.33,5.33
1/16/2025 20:15,Meter #80395501 - Off-Peak,1.13,4.53
1/16/2025 20:30,Meter #80395501 - Off-Peak,1.09,4.36
1/16/2025 20:45,Meter #80395501 - Off-Peak,0.88,3.53
1/16/2025 21:00,Meter #80395501 - Off-Peak,0.87,3.5
1/16/2025 21:15,Meter #80395501 - Off-Peak,0.94,3.75
1/16/2025 21:30,Meter #80395501 - Off-Peak,0.95,3.79
1/16/2025 21:45,Meter #80395501 - Off-Peak,0.97,3.88
1/16/2025 22:00,Meter #80395501 - Off-Peak,0.99,3.96
1/16/2025 22:15,Meter #80395501 - Off-Peak,1,3.99
1/16/2025 22:30,Meter #80395501 - Off-Peak,0.97,3.89
1/16/2025 22:45,Meter #80395501 - Off-Peak,0.96,3.84
1/16/2025 23:00,Meter #80395501 - Off-Peak,0.93,3.71
1/16/2025 23:15,Meter #80395501 - Off-Peak,0.92,3.7
1/16/2025 23:30,Meter #80395501 - Off-Peak,0.92,3.68
1/16/2025 23:45,Meter #80395501 - Off-Peak,0.92,3.69
1/17/2025 0:00,Meter #80395501 - Off-Peak,0.93,3.73
1/17/2025 0:15,Meter #80395501 - Off-Peak,0.93,3.72
1/17/2025 0:30,Meter #80395501 - Off-Peak,0.96,3.82
1/17/2025 0:45,Meter #80395501 - Off-Peak,0.94,3.77
1/17/2025 1:00,Meter #80395501 - Off-Peak,0.98,3.91
1/17/2025 1:15,Meter #80395501 - Off-Peak,0.8,3.2
1/17/2025 1:30,Meter #80395501 - Off-Peak,0.76,3.03
1/17/2025 1:45,Meter #80395501 - Off-Peak,0.77,3.09
1/17/2025 2:00,Meter #80395501 - Off-Peak,0.96,3.85
1/17/2025 2:15,Meter #80395501 - Off-Peak,0.96,3.83
1/17/2025 2:30,Meter #80395501 - Off-Peak,0.96,3.84
1/17/2025 2:45,Meter #80395501 - Off-Peak,0.94,3.75
1/17/2025 3:00,Meter #80395501 - Off-Peak,0.92,3.7
1/17/2025 3:15,Meter #80395501 - Off-Peak,0.93,3.72
1/17/2025 3:30,Meter #80395501 - Off-Peak,0.93,3.73
1/17/2025 3:45,Meter #80395501 - Off-Peak,0.93,3.72
1/17/2025 4:00,Meter #80395501 - Off-Peak,0.95,3.81
1/17/2025 4:15,Meter #80395501 - Off-Peak,0.96,3.84
1/17/2025 4:30,Meter #80395501 - Off-Peak,0.96,3.84
1/17/2025 4:45,Meter #80395501 - Off-Peak,0.94,3.78
1/17/2025 5:00,Meter #80395501 - Off-Peak,0.77,3.07
1/17/2025 5:15,Meter #80395501 - Off-Peak,0.74,2.98
1/17/2025 5:30,Meter #80395501 - Off-Peak,0.72,2.89
1/17/2025 5:45,Meter #80395501 - Off-Peak,0.83,3.33
1/17/2025 6:00,Meter #80395501 - Off-Peak,0.93,3.72
1/17/2025 6:15,Meter #80395501 - Off-Peak,0.93,3.71
1/17/2025 6:30,Meter #80395501 - Off-Peak,0.9,3.61
1/17/2025 6:45,Meter #80395501 - Off-Peak,0.97,3.89
1/17/2025 7:00,Meter #80395501 - Off-Peak,1.01,4.05
1/17/2025 7:15,Meter #80395501 - Off-Peak,1.22,4.86
1/17/2025 7:30,Meter #80395501 - Off-Peak,1.07,4.28
1/17/2025 7:45,Meter #80395501 - Off-Peak,1,4
1/17/2025 8:00,Meter #80395501 - Off-Peak,0.99,3.94
1/17/2025 8:15,Meter #80395501 - Off-Peak,1,4
1/17/2025 8:30,Meter #80395501 - Off-Peak,1,4
1/17/2025 8:45,Meter #80395501 - Off-Peak,1,4.02
1/17/2025 9:00,Meter #80395501 - Off-Peak,0.99,3.94
1/17/2025 9:15,Meter #80395501 - Off-Peak,1,3.98
1/17/2025 9:30,Meter #80395501 - Off-Peak,1.01,4.02
1/17/2025 9:45,Meter #80395501 - Off-Peak,1,3.99
1/17/2025 10:00,Meter #80395501 - Off-Peak,1.01,4.03
1/17/2025 10:15,Meter #80395501 - Off-Peak,0.99,3.98
1/17/2025 10:30,Meter #80395501 - Off-Peak,0.98,3.91
1/17/2025 10:45,Meter #80395501 - Off-Peak,0.99,3.94
1/17/2025 11:00,Meter #80395501 - Off-Peak,0.83,3.32
1/17/2025 11:15,Meter #80395501 - Off-Peak,0.82,3.27
1/17/2025 11:30,Meter #80395501 - Off-Peak,0.82,3.3
1/17/2025 11:45,Meter #80395501 - Off-Peak,0.84,3.36
1/17/2025 12:00,Meter #80395501 - Off-Peak,1.04,4.18
1/17/2025 12:15,Meter #80395501 - Off-Peak,1.06,4.25
1/17/2025 12:30,Meter #80395501 - Off-Peak,1.17,4.7
1/17/2025 12:45,Meter #80395501 - Off-Peak,0.94,3.76
1/17/2025 13:00,Meter #80395501 - Off-Peak,0.8,3.19
1/17/2025 13:15,Meter #80395501 - Off-Peak,0.79,3.18
1/17/2025 13:30,Meter #80395501 - Off-Peak,0.8,3.2
1/17/2025 13:45,Meter #80395501 - Off-Peak,0.8,3.21
1/17/2025 14:00,Meter #80395501 - Off-Peak,0.79,3.15
1/17/2025 14:15,Meter #80395501 - Off-Peak,0.8,3.21
1/17/2025 14:30,Meter #80395501 - Off-Peak,0.83,3.32
1/17/2025 14:45,Meter #80395501 - Off-Peak,0.82,3.27
1/17/2025 15:00,Meter #80395501 - On-Peak,0.81,3.25
1/17/2025 15:15,Meter #80395501 - On-Peak,0.81,3.24
1/17/2025 15:30,Meter #80395501 - On-Peak,0.8,3.22
1/17/2025 15:45,Meter #80395501 - On-Peak,0.81,3.24
1/17/2025 16:00,Meter #80395501 - On-Peak,0.81,3.26
1/17/2025 16:15,Meter #80395501 - On-Peak,0.81,3.25
1/17/2025 16:30,Meter #80395501 - On-Peak,0.79,3.17
1/17/2025 16:45,Meter #80395501 - On-Peak,0.8,3.2
1/17/2025 17:00,Meter #80395501 - On-Peak,0.8,3.19
1/17/2025 17:15,Meter #80395501 - On-Peak,0.79,3.18
1/17/2025 17:30,Meter #80395501 - On-Peak,0.83,3.3
1/17/2025 17:45,Meter #80395501 - On-Peak,0.9,3.6
1/17/2025 18:00,Meter #80395501 - On-Peak,1.18,4.72
1/17/2025 18:15,Meter #80395501 - On-Peak,0.92,3.67
1/17/2025 18:30,Meter #80395501 - On-Peak,0.85,3.4
1/17/2025 18:45,Meter #80395501 - On-Peak,0.84,3.38
1/17/2025 19:00,Meter #80395501 - Off-Peak,0.87,3.48
1/17/2025 19:15,Meter #80395501 - Off-Peak,0.86,3.45
1/17/2025 19:30,Meter #80395501 - Off-Peak,0.9,3.61
1/17/2025 19:45,Meter #80395501 - Off-Peak,1.05,4.2
1/17/2025 20:00,Meter #80395501 - Off-Peak,0.93,3.73
1/17/2025 20:15,Meter #80395501 - Off-Peak,0.89,3.55
1/17/2025 20:30,Meter #80395501 - Off-Peak,0.91,3.64
1/17/2025 20:45,Meter #80395501 - Off-Peak,1.02,4.09
1/17/2025 21:00,Meter #80395501 - Off-Peak,1.01,4.05
1/17/2025 21:15,Meter #80395501 - Off-Peak,1.02,4.06
1/17/2025 21:30,Meter #80395501 - Off-Peak,1.01,4.04
1/17/2025 21:45,Meter #80395501 - Off-Peak,0.85,3.39
1/17/2025 22:00,Meter #80395501 - Off-Peak,0.78,3.12
1/17/2025 22:15,Meter #80395501 - Off-Peak,0.77,3.07
1/17/2025 22:30,Meter #80395501 - Off-Peak,0.76,3.05
1/17/2025 22:45,Meter #80395501 - Off-Peak,0.78,3.12
1/17/2025 23:00,Meter #80395501 - Off-Peak,0.96,3.83
1/17/2025 23:15,Meter #80395501 - Off-Peak,0.96,3.82
1/17/2025 23:30,Meter #80395501 - Off-Peak,0.97,3.86
1/17/2025 23:45,Meter #80395501 - Off-Peak,0.88,3.54
1/18/2025 0:00,Meter #80395501 - Off-Peak,0.78,3.14
1/18/2025 0:15,Meter #80395501 - Off-Peak,0.77,3.1
1/18/2025 0:30,Meter #80395501 - Off-Peak,0.94,3.78
1/18/2025 0:45,Meter #80395501 - Off-Peak,1.08,4.31
1/18/2025 1:00,Meter #80395501 - Off-Peak,1.03,4.14
1/18/2025 1:15,Meter #80395501 - Off-Peak,0.98,3.91
1/18/2025 1:30,Meter #80395501 - Off-Peak,0.99,3.95
1/18/2025 1:45,Meter #80395501 - Off-Peak,1.15,4.61
1/18/2025 2:00,Meter #80395501 - Off-Peak,1.1,4.38
1/18/2025 2:15,Meter #80395501 - Off-Peak,0.83,3.31
1/18/2025 2:30,Meter #80395501 - Off-Peak,0.78,3.11
1/18/2025 2:45,Meter #80395501 - Off-Peak,0.77,3.09
1/18/2025 3:00,Meter #80395501 - Off-Peak,0.75,3
1/18/2025 3:15,Meter #80395501 - Off-Peak,0.74,2.97
1/18/2025 3:30,Meter #80395501 - Off-Peak,0.74,2.97
1/18/2025 3:45,Meter #80395501 - Off-Peak,0.74,2.98
1/18/2025 4:00,Meter #80395501 - Off-Peak,0.73,2.9
1/18/2025 4:15,Meter #80395501 - Off-Peak,0.85,3.39
1/18/2025 4:30,Meter #80395501 - Off-Peak,0.97,3.89
1/18/2025 4:45,Meter #80395501 - Off-Peak,0.96,3.84
1/18/2025 5:00,Meter #80395501 - Off-Peak,0.97,3.89
1/18/2025 5:15,Meter #80395501 - Off-Peak,0.82,3.29
1/18/2025 5:30,Meter #80395501 - Off-Peak,0.76,3.05
1/18/2025 5:45,Meter #80395501 - Off-Peak,0.75,3.02
1/18/2025 6:00,Meter #80395501 - Off-Peak,0.75,2.99
1/18/2025 6:15,Meter #80395501 - Off-Peak,0.75,2.99
1/18/2025 6:30,Meter #80395501 - Off-Peak,0.73,2.9
1/18/2025 6:45,Meter #80395501 - Off-Peak,0.71,2.84
1/18/2025 7:00,Meter #80395501 - Off-Peak,0.73,2.92
1/18/2025 7:15,Meter #80395501 - Off-Peak,0.88,3.51
1/18/2025 7:30,Meter #80395501 - Off-Peak,1.01,4.05
1/18/2025 7:45,Meter #80395501 - Off-Peak,1.05,4.19
1/18/2025 8:00,Meter #80395501 - Off-Peak,1.05,4.22
1/18/2025 8:15,Meter #80395501 - Off-Peak,0.86,3.43
1/18/2025 8:30,Meter #80395501 - Off-Peak,0.84,3.36
1/18/2025 8:45,Meter #80395501 - Off-Peak,0.86,3.43
1/18/2025 9:00,Meter #80395501 - Off-Peak,0.9,3.58
1/18/2025 9:15,Meter #80395501 - Off-Peak,0.87,3.49
1/18/2025 9:30,Meter #80395501 - Off-Peak,0.91,3.63
1/18/2025 9:45,Meter #80395501 - Off-Peak,0.97,3.88
1/18/2025 10:00,Meter #80395501 - Off-Peak,0.98,3.92
1/18/2025 10:15,Meter #80395501 - Off-Peak,0.88,3.51
1/18/2025 10:30,Meter #80395501 - Off-Peak,0.92,3.67
1/18/2025 10:45,Meter #80395501 - Off-Peak,0.94,3.78
1/18/2025 11:00,Meter #80395501 - Off-Peak,0.97,3.88
1/18/2025 11:15,Meter #80395501 - Off-Peak,1.08,4.33
