Start,Meter,kWh,kW
07/17/2025 12:15:00 AM,Meter #95175892 - Off-Peak,3.18,12.7
07/17/2025 12:15:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 12:30:00 AM,Meter #95175892 - Off-Peak,3.09,12.35
07/17/2025 12:30:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 12:45:00 AM,Meter #95175892 - Off-Peak,3.34,13.36
07/17/2025 12:45:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 1:00:00 AM,Meter #95175892 - Off-Peak,3.53,14.11
07/17/2025 1:00:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 1:15:00 AM,Meter #95175892 - Off-Peak,3.8,15.2
07/17/2025 1:15:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 1:30:00 AM,Meter #95175892 - Off-Peak,3.64,14.54
07/17/2025 1:30:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 1:45:00 AM,Meter #95175892 - Off-Peak,3.62,14.46
07/17/2025 1:45:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 2:00:00 AM,Meter #95175892 - Off-Peak,3.18,12.7
07/17/2025 2:00:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 2:15:00 AM,Meter #95175892 - Off-Peak,3.3,13.22
07/17/2025 2:15:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 2:30:00 AM,Meter #95175892 - Off-Peak,3.2,12.78
07/17/2025 2:30:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 2:45:00 AM,Meter #95175892 - Off-Peak,3.98,15.92
07/17/2025 2:45:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 3:00:00 AM,Meter #95175892 - Off-Peak,3.21,12.85
07/17/2025 3:00:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 3:15:00 AM,Meter #95175892 - Off-Peak,3.21,12.85
07/17/2025 3:15:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 3:30:00 AM,Meter #95175892 - Off-Peak,3.42,13.66
07/17/2025 3:30:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 3:45:00 AM,Meter #95175892 - Off-Peak,3.04,12.14
07/17/2025 3:45:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 4:00:00 AM,Meter #95175892 - Off-Peak,0.7,2.82
07/17/2025 4:00:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 4:15:00 AM,Meter #95175892 - Off-Peak,0.42,1.68
07/17/2025 4:15:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 4:30:00 AM,Meter #95175892 - Off-Peak,0.29,1.15
07/17/2025 4:30:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 4:45:00 AM,Meter #95175892 - Off-Peak,0.46,1.82
07/17/2025 4:45:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 5:00:00 AM,Meter #95175892 - Off-Peak,0.35,1.39
07/17/2025 5:00:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 5:15:00 AM,Meter #95175892 - Off-Peak,0.4,1.62
07/17/2025 5:15:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 5:30:00 AM,Meter #95175892 - Off-Peak,0.45,1.79
07/17/2025 5:30:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 5:45:00 AM,Meter #95175892 - Off-Peak,0.27,1.09
07/17/2025 5:45:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 6:00:00 AM,Meter #95175892 - Off-Peak,0.47,1.87
07/17/2025 6:00:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 6:15:00 AM,Meter #95175892 - Off-Peak,0.64,2.58
07/17/2025 6:15:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 6:30:00 AM,Meter #95175892 - Off-Peak,0.78,3.14
07/17/2025 6:30:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 6:45:00 AM,Meter #95175892 - Off-Peak,0.47,1.87
07/17/2025 6:45:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 7:00:00 AM,Meter #95175892 - Off-Peak,0.22,0.88
07/17/2025 7:00:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 7:15:00 AM,Meter #95175892 - Off-Peak,0.02,0.08
07/17/2025 7:15:00 AM,Meter #95175892g - Off-Peak,-0.02,
07/17/2025 7:30:00 AM,Meter #95175892 - Off-Peak,0.38,1.54
07/17/2025 7:30:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 7:45:00 AM,Meter #95175892 - Off-Peak,0.54,2.16
07/17/2025 7:45:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 8:00:00 AM,Meter #95175892 - Off-Peak,0.32,1.3
07/17/2025 8:00:00 AM,Meter #95175892g - Off-Peak,-0.01,
07/17/2025 8:15:00 AM,Meter #95175892 - Off-Peak,0.41,1.65
07/17/2025 8:15:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 8:30:00 AM,Meter #95175892 - Off-Peak,1.27,5.09
07/17/2025 8:30:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 8:45:00 AM,Meter #95175892 - Off-Peak,0.56,2.24
07/17/2025 8:45:00 AM,Meter #95175892g - Off-Peak,0,
07/17/2025 9:00:00 AM,Meter #95175892 - Off-Peak,0.04,0.18
07/17/2025 9:00:00 AM,Meter #95175892g - Off-Peak,-0.09,
